Brand,Info,Price,IntPrice
GEO,"Book3X 13.3"" Intel® Pentium™ Laptop - 32 GB eMMC, Silver",£279.00,279.0
HP,"Pavilion x360 14-cd1511sa 14"" Intel® Core™ i3 2 in 1 - 128 GB SSD, Silver",£529.00,529.0
HP,Pavilion 15-cx0513na 15.6” Intel® Core™ i5 GTX 1050 Ti Gaming Laptop - 1 TB HDD & 128 GB SSD,£799.00,799.0
APPLE,"MacBook 12"" - Rose Gold (2017)","£1,199.00",1199.0
ACER,"Aspire 1 A114-31 14"" Intel® Celeron™ Laptop - 32 GB eMMC, Red",£199.00,199.0
LENOVO,"Ideapad 530S 14"" Intel® Core™ i7 Laptop - 256 GB SSD, Grey",£749.00,749.0
LG,"GRAM i15Z980 15.6"" Intel® Core™ i7 Laptop - 512 GB SSD, White","£1,299.00",1299.0
ACER,"Aspire 1 A114-31 14"" Intel® Celeron® Laptop - 64 GB eMMC, Red",£219.00,219.0
ASUS,"ROG Strix II GL504 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB & 256 GB SSD","£1,549.00",1549.0
DELL,"Inspiron 3181 11.6"" Intel® Celeron™ 2 in 1 Chromebook – 64 GB eMMC, Grey",£349.00,349.0
TOSHIBA,"Dynabook A55-E 15.6"" Intel® Core™ i5 Laptop - 2 TB HDD, Gold & White",£679.00,679.0
HP,"Pavilion 15-cs1504na 15.6” Intel® Core™ i5 Laptop - 256 GB SSD, Silver",£749.00,749.0
